Filename,Drug,Results,MIC
02-2107-2015163058-1-14-UKMYC6-raw,BDQ,"growth, growth, growth, -none-, -none-, -none-, -none-, -none-",0.06
02-2107-2015163058-1-14-UKMYC6-raw,EMB,"growth, growth, growth, -none-, -none-, -none-, -none-, -none-",2
02-2107-2015163058-1-14-UKMYC6-raw,INH,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-, -none-, -none-",0.1
02-2107-2015163058-1-14-UKMYC6-raw,RIF,"growth, growth, -none-, -none-, -none-, -none-, -none-, -none-, -none-",0.12
02-2107-2015163058-1-14-UKMYC6-raw,AMI,"-none-, -none-, -none-, -none-, -none-, -none-, -none-",<= 0.25
02-2107-2015163058-1-14-UKMYC6-raw,LEV,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.5
02-2107-2015163058-1-14-UKMYC6-raw,MXF,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.25
02-2107-2015163058-1-14-UKMYC6-raw,DLM,"growth, -none-, -none-, -none-, -none-, -none-, -none-",0.015
02-2107-2015163058-1-14-UKMYC6-raw,LZD,"growth, growth, growth, -none-, -none-, -none-, -none-",0.5
02-2107-2015163058-1-14-UKMYC6-raw,CFZ,"growth, growth, -none-, -none-, -none-, -none-, -none-",0.12
02-2107-2015163058-1-14-UKMYC6-raw,ETH,"growth, growth, -none-, -none-, -none-, -none-",1
02-2107-2015163058-1-14-UKMYC6-raw,RFB,"-none-, -none-, -none-, -none-, -none-, -none-",<= 0.06
02-2107-2015163058-1-14-UKMYC6-raw,KAN,"-none-, -none-, -none-, -none-, -none-",<= 1
