    1,    32, 12.8,   6.4,  3.2,   1.6,  0.8,  0.4,   0.2,    0.1,  0.05,0.025
  0.5,    16,    2,     4,   16,     8,    4,  0.5,     4,      2,     8,    2
 0.25,     8,    1,     8,    8,     4,    2, 0.25,     2,      1,     4,    1
 0.12,     4,  0.5,    16,    4,     2,    1, 0.12,     1,    0.5,     2,  0.5
 0.06,     2, 0.25,     8,    2,     1,  0.5, 0.06,   0.5,   0.25,     1, 0.25
 0.03,     1, 0.12,     4,    1,   0.5, 0.25, 0.03,  0.25,   0.12,   0.5, 0.12
0.015,   0.5, 0.06,     2,  0.5,  0.25, 0.12,0.015,  0.12,   0.06,  0.25, 0.06
0.008,  0.25, 0.03,     1, 0.25,  0.12, 0.06,0.008,  0.06,   0.03,     0,    0
