    2,    16,    8,     4,    2,     1,    8,    4,     2,      1,   0.5, 0.25
    1,     8,    8,   1.6,    8,     4,    1,    2,     4,      4,     2,    4
  0.5,     4,    4,   0.8,    4,     2,  0.5,    1,     2,      2,     1,    2
 0.25,     2,    2,   0.4,    2,     1, 0.25,  0.5,     1,      1,   0.5,    1
 0.12,     1,    1,   0.2,    1,   0.5, 0.12, 0.25,   0.5,    0.5,  0.25,  0.5
 0.06,   0.5, 0.50,   0.1,  0.5,  0.25, 0.06, 0.12,  0.25,   0.25,  0.12, 0.25
 0.03,  0.25, 0.25,  0.05, 0.25,  0.12, 0.03, 0.06,  0.12,   0.12,  0.06, 0.12
0.015,  0.06, 0.12, 0.025, 0.12,  0.06,0.015, 0.03,  0.06,   0.06,     0,    0
